,product_id,category_id,description
116,87E4005056A615EF11E3B1768A78AAA0,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH649 6;5x16 5/114;3 ET 38 DIA 67;1 BKF
117,87E4005056A615EF11E3B1768A78AAB4,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH656 6;5x16 5/114;3 ET 39 DIA 60;1 BKF
118,87E4005056A615EF11E3B176A6C43A6E,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-32 6;5x16 5/114;3 ET 40 DIA 66;1 WF
119,87E4005056A615EF11E3B176A6C43A82,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-56 6;5x16 5/114;3 ET 40 DIA 66;1 MBFRS
120,87E4005056A615EF11E3B176A6C43A96,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH602 6;5x16 5/114;3 ET 40 DIA 73;1 GMF
121,87E4005056A615EF11E3B176C402975C,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-32 6;5x16 5/114;3 ET 45 DIA 60;1 WF
122,87E4005056A615EF11E3B176C4029770,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH649 6;5x16 5/114;3 ET 45 DIA 60;1 BKF
123,87E4005056A615EF11E3B176C4029784,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH586 6;5x16 5/114;3 ET 45 DIA 73;1 GMF
124,87E4005056A615EF11E3B176DF32E2B0,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-28 6;5x16 5/114;3 ET 46 DIA 67;1 BKF
125,87E4005056A615EF11E3B176DF32E2C4,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-50 6;5x16 5/114;3 ET 46 DIA 67;1 W+B
126,87E4005056A615EF11E3B176DF32E2D8,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH665 6;5x16 5/114;3 ET 46 DIA 67;1
127,87E4005056A615EF11E3B176F897C322,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-49 6;5x16 5/114;3 ET 47 DIA 66;1 W+B
128,87E4005056A615EF11E3B176F897C336,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-12 6;5x16 5/114;3 ET 50 DIA 66;1 BKF
129,87E4005056A615EF11E3B17F65928FDA,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-40 6;5x16 5/114;3 ET 50 DIA 66;1 MBRSI
130,87E4005056A615EF11E3B17F65928FEE,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH651 6;5x16 5/114;3 ET 50 DIA 66;1 MBRS
131,87E4005056A615EF11E3B17F65929002,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-50 6;5x16 5/114;3 ET 51 DIA 67;1 W+B
132,87E4005056A615EF11E3B17F8090E97B,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH635 6;5x16 5/114;3 ET 52;5 DIA 67;1 MB
133,87E4005056A615EF11E3B17F8090E98F,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-47 6;5x16 5/115 ET 41 DIA 70;1 BKPL
134,87E4005056A615EF11E3B17F8090E9A3,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH652 6;5x16 5/139;7 ET 40 DIA 98;6 SF
135,87E4005056A615EF11E3B17F8090E9B7,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH649 6;5x17 5/114;3 ET 48 DIA 67;1 BKF
136,87E4005056A615EF11E3B17F9AFE0E99,Аксессуары автоэлектроника,Автомобильный диск Литой NZ SH605 6x14 4/100 ET 40 DIA 73;1 White
137,87E4005056A615EF11E3B17F9AFE0EAD,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-16 6x14 4/100 ET 43 DIA 60;1 BKF
138,87E4005056A615EF11E3B17F9AFE0EC1,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-40 6x14 4/100 ET 43 DIA 60;1 MBRSI
139,87E4005056A615EF11E3B17FB4F42E4D,Аксессуары автоэлектроника,Автомобильный диск Литой NZ F-25 6x14 4/100 ET 49 DIA 56;6 MB
